epoch,step,rank,method,module,loss_det,loss_odam,cosine_raw,det_norm,odam_norm_raw,odam_norm_safe,aux_to_det_raw,aux_to_det_effective,directional_margin,final_cosine_to_det,final_angle_deg,conflict_raw,dominance_raw,dominance_effective,unsafe_descent,projected,cap_active,norm_scale,gate,alpha,effective_weight
0,100,1,dpga,roi_cls,0.16613943874835968,1.7186524868011475,0.0,0.4500008523464203,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,100,1,dpga,roi_reg,0.16613943874835968,1.7186524868011475,-0.12346818298101425,0.25261354446411133,26.773258209228516,0.012630677781999111,105.98504631263815,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.0004754022229462862,0.35038647055625916,0.0,0.0
0,200,1,dpga,backbone,1.0882980823516846,0.7475804090499878,-0.10248330980539322,18.192983627319336,10.991832733154297,1.819298505783081,0.6041797738249215,0.0,1.0,1.0,0.0,1,0,0,0,1,1,0.16638973355293274,0.3746272027492523,0.0,0.0
0,200,1,dpga,fpn,1.0882980823516846,0.7475804090499878,-0.06938130408525467,4.185211181640625,3.4176390171051025,0.6277816891670227,0.816598940597633,0.0,1.0,1.0,0.0,1,0,0,0,1,1,0.1841324269771576,0.4141328036785126,0.0,0.0
0,200,1,dpga,rpn,1.0882980823516846,0.7475804090499878,0.0,4.560061931610107,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,200,1,dpga,roi_shared,1.0882980823516846,0.7475804090499878,-0.1010390892624855,7.5596394538879395,1.6078071594238281,1.599579095840454,0.21268304781346806,0.0,1.0,1.0,0.0,1,0,0,0,1,0,1.0,0.376320481300354,0.0,0.0
0,200,1,dpga,roi_cls,1.0882980823516846,0.7475804090499878,0.0,6.261621475219727,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,200,1,dpga,roi_reg,1.0882980823516846,0.7475804090499878,-0.13898184895515442,1.0427353382110596,3.861159086227417,0.05213676765561104,3.7029138121008818,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.013635210692882538,0.3329418897628784,0.0,0.0
0,300,1,dpga,backbone,0.08368377387523651,0.00010002159251598641,0.0,1.1851316690444946,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,300,1,dpga,fpn,0.08368377387523651,0.00010002159251598641,0.0,0.2836408019065857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,300,1,dpga,rpn,0.08368377387523651,0.00010002159251598641,0.0,0.5568397641181946,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,300,1,dpga,roi_shared,0.08368377387523651,0.00010002159251598641,0.0,0.44579291343688965,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,300,1,dpga,roi_cls,0.08368377387523651,0.00010002159251598641,0.0,0.48288220167160034,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,300,1,dpga,roi_reg,0.08368377387523651,0.00010002159251598641,0.0,0.014048567041754723,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,400,1,dpga,backbone,0.05371981859207153,-0.0,0.0,1.2159124612808228,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,400,1,dpga,fpn,0.05371981859207153,-0.0,0.0,0.3415476977825165,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
